"row_number","minute_adjusted","seconds","player","score","scoremargin"
"1",47,40,"Derrick Rose","2 - 0","-2"
"2",47,15,"Kristaps Porzingis","4 - 0","-4"
"3",46,59,"LeBron James","4 - 2","-2"
"4",45,59,"JR Smith","4 - 4","0"
"5",45,44,"Kristaps Porzingis","5 - 4","-1"
"6",44,47,"Carmelo Anthony","7 - 4","-3"
"7",43,56,"JR Smith","7 - 7","0"
"8",43,12,"Carmelo Anthony","10 - 7","-3"
"9",42,48,"Kevin Love","10 - 9","-1"
"10",42,48,"Kevin Love","10 - 10","0"
"11",42,13,"Kyrie Irving","10 - 12","2"
"12",41,56,"LeBron James","10 - 14","4"
"13",41,38,"Carmelo Anthony","12 - 14","2"
"14",40,25,"Kyrie Irving","12 - 15","3"
"15",40,16,"Kyrie Irving","12 - 17","5"
"16",40,5,"Carmelo Anthony","14 - 17","3"
"17",39,37,"LeBron James","14 - 19","5"
"18",39,17,"Carmelo Anthony","16 - 19","3"
"19",38,16,"Kevin Love","16 - 21","5"
"20",37,55,"Richard Jefferson","16 - 23","7"
"21",37,28,"Kevin Love","16 - 24","8"
"22",36,50,"Brandon Jennings","17 - 24","7"
"23",36,50,"Brandon Jennings","18 - 24","6"
"24",36,40,"Kevin Love","18 - 25","7"
"25",36,3,"Kevin Love","18 - 28","10"
"26",34,55,"LeBron James","18 - 30","12"
"27",34,2,"Willy Hernangomez","20 - 30","10"
"28",33,46,"Richard Jefferson","20 - 32","12"
"29",33,36,"Brandon Jennings","21 - 32","11"
"30",33,36,"Brandon Jennings","22 - 32","10"
"31",33,1,"Derrick Rose","24 - 32","8"
"32",32,36,"LeBron James","24 - 34","10"
"33",31,33,"LeBron James","24 - 36","12"
"34",31,7,"Derrick Rose","26 - 36","10"
"35",30,50,"JR Smith","26 - 39","13"
"36",30,30,"Carmelo Anthony","28 - 39","11"
"37",30,11,"Derrick Rose","30 - 39","9"
"38",29,47,"Kristaps Porzingis","33 - 39","6"
"39",29,11,"Justin Holiday","36 - 39","3"
"40",28,55,"Kyrie Irving","36 - 41","5"
"41",28,40,"Justin Holiday","39 - 41","2"
"42",28,13,"Derrick Rose","41 - 41","0"
"43",27,59,"Kyrie Irving","41 - 44","3"
"44",27,17,"Kristaps Porzingis","42 - 44","2"
"45",27,9,"Richard Jefferson","42 - 46","4"
"46",25,42,"Derrick Rose","44 - 46","2"
"47",24,38,"Kristaps Porzingis","45 - 46","1"
"48",24,27,"Iman Shumpert","45 - 48","3"
"49",23,4,"Kevin Love","45 - 50","5"
"50",22,47,"LeBron James","45 - 51","6"
"51",21,54,"Kristaps Porzingis","47 - 51","4"
"52",21,35,"Kyrie Irving","47 - 54","7"
"53",21,22,"Carmelo Anthony","49 - 54","5"
"54",21,5,"LeBron James","49 - 56","7"
"55",20,46,"LeBron James","49 - 58","9"
"56",20,4,"Kevin Love","49 - 61","12"
"57",18,21,"Carmelo Anthony","50 - 61","11"
"58",18,21,"Carmelo Anthony","51 - 61","10"
"59",18,6,"Kyrie Irving","51 - 63","12"
"60",17,43,"Kyrie Irving","51 - 66","15"
"61",16,52,"Channing Frye","51 - 69","18"
"62",16,35,"Carmelo Anthony","53 - 69","16"
"63",16,6,"Kyrie Irving","53 - 72","19"
"64",15,47,"Kyrie Irving","53 - 74","21"
"65",15,30,"Lance Thomas","55 - 74","19"
"66",14,57,"Justin Holiday","56 - 74","18"
"67",14,57,"Justin Holiday","57 - 74","17"
"68",14,33,"Kyrie Irving","57 - 76","19"
"69",14,14,"Kristaps Porzingis","60 - 76","16"
"70",13,50,"Kyrie Irving","60 - 78","18"
"71",13,5,"Kristaps Porzingis","63 - 78","15"
"72",12,42,"Kyrie Irving","63 - 80","17"
"73",12,29,"Brandon Jennings","64 - 80","16"
"74",12,5,"Mike Dunleavy","64 - 82","18"
"75",11,15,"Mindaugas Kuzminskas","66 - 82","16"
"76",10,53,"DeAndre Liggins","66 - 84","18"
"77",10,26,"Mindaugas Kuzminskas","69 - 84","15"
"78",9,56,"Derrick Rose","70 - 84","14"
"79",9,56,"Derrick Rose","71 - 84","13"
"80",9,33,"Channing Frye","71 - 87","16"
"81",9,11,"LeBron James","71 - 89","18"
"82",8,34,"Richard Jefferson","71 - 92","21"
"83",8,19,"Derrick Rose","74 - 92","18"
"84",7,48,"Richard Jefferson","74 - 93","19"
"85",7,47,"Kevin Love","74 - 94","20"
"86",7,29,"Kevin Love","74 - 95","21"
"87",7,29,"Kevin Love","74 - 96","22"
"88",6,44,"Kevin Love","74 - 97","23"
"89",6,44,"Kevin Love","74 - 98","24"
"90",6,22,"Brandon Jennings","76 - 98","22"
"91",5,56,"Richard Jefferson","76 - 101","25"
"92",5,34,"Kevin Love","76 - 103","27"
"93",5,34,"Kevin Love","76 - 104","28"
"94",5,7,"James Jones","76 - 107","31"
"95",4,48,"Ron Baker","78 - 107","29"
"96",4,30,"Jordan McRae","78 - 109","31"
"97",4,20,"Mindaugas Kuzminskas","80 - 109","29"
"98",3,47,"Kyle O'Quinn","82 - 109","27"
"99",3,26,"Willy Hernangomez","84 - 109","25"
"100",2,44,"DeAndre Liggins","84 - 111","27"
"101",2,6,"James Jones","84 - 112","28"
"102",2,6,"James Jones","84 - 113","29"
"103",1,8,"Mike Dunleavy","84 - 115","31"
"104",1,8,"Sasha Vujacic","85 - 115","30"
"105",0,19,"Chris Andersen","85 - 117","32"
"106",0,12,"Ron Baker","88 - 117","29"
