"player_name","player_points","player_team_abbreviation","true_max_min"
"Dorian Finney-Smith",2,"DAL",6
"Harrison Barnes",4,"DAL",6
"J.J. Barea",8,"DAL",6
"Wesley Matthews",3,"DAL",6
"Andrew Harrison",1,"MEM",1
"JaMychal Green",4,"MEM",1
"Marc Gasol",11,"MEM",8
"Marc Gasol",2,"MEM",1
"Mike Conley",11,"MEM",8
"Mike Conley",4,"MEM",1
"Vince Carter",2,"MEM",8
"Dion Waiters",2,"MIA",5
"Goran Dragic",6,"MIA",5
"Hassan Whiteside",2,"MIA",5
"Justise Winslow",2,"MIA",5
"Tyler Johnson",7,"MIA",5
"Anthony Davis",1,"NOP",7
"Buddy Hield",2,"NOP",7
"Lance Stephenson",4,"NOP",7
"Evan Fournier",2,"ORL",1
"Serge Ibaka",4,"ORL",1
"Brandon Knight",2,"PHX",7
"Devin Booker",12,"PHX",8
"Devin Booker",6,"PHX",7
"Eric Bledsoe",9,"PHX",7
"Eric Bledsoe",5,"PHX",8
"PJ Tucker",1,"PHX",7
"TJ Warren",7,"PHX",7
"TJ Warren",2,"PHX",8
"Tyson Chandler",2,"PHX",8
"Al-Farouq Aminu",1,"POR",10
"CJ McCollum",12,"POR",10
"Damian Lillard",7,"POR",10
"Mason Plumlee",4,"POR",10
"Maurice Harkless",1,"POR",10
